Name 5.56x45mm 200rds Box
ShortName 556x45200rdbox
Model BFMCpack.Shootbullet
Texture Shootbullet
//Colour of icon and model
Colour 255 255 255
ItemID 23834
Icon M249Ammo
Description Used for SAW
//How affected by gravity the bullet is
FallSpeed 3.5
//The maximum stack size
MaxStackSize 1
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 200
//The damage multiplier caused by the bullet on hitting an entity
Damage 1
DamageVsVehicles 1
//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 0
FlakParticles 5
FlakParticlesCrack 10
FlakParticlesDiff 0.4
FlakParticleType cloud
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.1
HitSound flyby
HitSoundRange 5
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
//Penetrates 2.5
SmokeTrail False


ShootHeadMultiplier 1.5

ShootArmMultiplier 0.8

ShootLegMultiplier 0.8

MaxSupplyClips 2
