Name 7.62x51mm AP Tracer 100rds Box
ShortName 762x51100rdapbox
Model cvts.MGBullet
Texture MGBulletRed
//Colour of icon and model
Colour 255 255 255
Icon 762x51100rdAPbox
Description Used for LMG
//How affected by gravity the bullet is
FallSpeed 3.8
//The maximum stack size
MaxStackSize 2
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 100
//The damage multiplier caused by the bullet on hitting an entity
Damage 1
DamageVsVehicles 3
DamageVsPlanes 3
SetEntitiesOnFire True
//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 0
FlakParticles 20
FlakParticlesCrack 10
FlakParticlesDiff 0.4
FlakParticleType cloud
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.1
HitSound flyby
HitSoundRange 5
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
//Penetration 6
Haslight True
TrailParticleType flansmod.fmtracerred
TrailParticles true
DragInAir 0.99

ShootHeadMultiplier 1.5

ShootArmMultiplier 0.8

ShootLegMultiplier 0.8

MaxSupplyClips 3
