Name 9x19mm 50rds Drum
ShortName 9x1950rddrum
Model Bullet
Description Used for PP19/CSLS06
//Colour of icon and model
Colour 255 255 255
Icon BizonAmmo
//How affected by gravity the bullet is
FallSpeed 3.5
//The maximum stack size
MaxStackSize 3
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 50
//The damage multiplier caused by the bullet on hitting an entity
Damage 1
DamageVsVehicles 1
//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 0
FlakParticles 3
FlakParticleType cloud
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.1
HitSound grassimpact
HitSoundRange 5
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
//Penetrates False
SmokeTrail False

ShootHeadMultiplier 1.3

ShootArmMultiplier 0.9

ShootLegMultiplier 0.9
