Name G-84 Missile
ShortName g84ammo
Model mw.MIM23Rocket
Texture MIM23
//Colour of icon and model
Colour 255 255 255
Icon G84AMMO
Description Only Used for G-84 TGM
//How affected by gravity the bullet is
FallSpeed 0
//The maximum stack size
MaxStackSize 4
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 1
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 400
DamageVsPlanes 400
DamageVsVehicles 400
//Size of explosion caused
Explosion 3
ExplosionDamageVsLiving 1
ExplosionDamageVsPlayer 1
ExplosionDamageVsPlane 1.0
ExplosionDamageVsVehicle 1.0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact True
Fuse 200
FlakParticles 200
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.1
HitSound flakx
HitSoundRange 500
HitSoundEnable true
EntityHitSoundEnable true
//Whether or not the bullet can travel through an entity having hit it
//Penetrates False
HasLight True
FlareParticleCount 2
DebrisParticleCount 2
//LockOnToPlanes True
//LockOnToVehicle True
//LockOnToPlayers True
//LockOnToLivings False
MaxLockOnAngle 10.0
LockOnForce 4
LockOnFuse 1
MaxDegreeOfLockOnMissile 15
TickStartHoming 40
DragInAir 1
SmokeTrail True
TrailParticles true
TrailParticleType cloud
IsDoTopAttack True

ManualGuidance True
GuidedTurnRadius 30
GuidedPhaseSpeed 2
GuidedPhaseTurnSpeed 0.05

CanBeDestructByAPS true

PenetratingBlockMaxNum 0
MaxSupplyClips 4



GuidedMaxSpeedMultiplier 1.0
enableCameraFollow true


TickEndHoming 100
