////Name and icon
Name 40mm Smoke
ShortName 40mmsmoke
Icon 40mmSmoke
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
StackSize 3
////Visuals
Model mw.RoundGrenade
Texture gl3
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 0
//ExplodeParticleType <particleType>
SmokeTime 160
SmokeParticles newcloud
//Syntax is SmokeEffect <ID> <Duration> <Amplifier>
//IDs are 	1:MoveSpeed		2:MoveSlowdown		3:DigSpeed			4:DigSlowdown		5:DamageBoost	6:Heal			7:Harm		8:Jump			9:Confusion		10:Regeneration
//			11:Resistance	12:FireResistance	13:WaterBreathing	14:Invisibility		15:Blindness	16:NightVision	17:Hunger	18:Weakness		19:Poison		20:Wither
SmokeRadius 5
SpinWhenThrown true
////Throwing
CanThrow false
ThrowDelay 10
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact true
Bounciness 0.1
HitEntityDamage 20
ThrowSpeed 5
FallSpeed 1.2
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
////Detonation conditions
VehicleProximityTrigger 2.0
LivingProximityTrigger 1.0
Fuse 60
DetonateWhenShot true
DetonateSound order_smoke
Remote false
//DespawnTime 0
PrimeDelay 0
////Detonation
FireRadius 0.0
ExplosionRadius 0.0
ExplosionBreaksBlocks true
//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
////Misc
CanBeDestructByAPS true

MaxSupplyClips 5

SmokeParticleCount 10
SmokeParticleRadius 30
SmokeParticleHeight 20
