////Name and icon
Name RGO Impact
ShortName rgo
Icon RGO
Description Fuse 4s
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
StackSize 4
////Visuals
Model BFMCpack.RGO
Texture RGO
ThrowSound grenade
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 300
ExplodeParticleType large_smoke
SmokeTime 10
//SmokeParticleType <particleType>
SpinWhenThrown true
////Throwing
ThrowDelay 15
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
TickToExplodeAfterImpact 20
Bounciness 0.45
HitEntityDamage 0
ThrowSpeed 2.5
FallSpeed 1.2
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.1
Sticky false
BounceSound bounce
////Detonation conditions
VehicleProximityTrigger 2.0
LivingProximityTrigger -1.0
Fuse 1000
DetonateWhenShot true
Remote false
//DespawnTime 0
PrimeDelay 15
////Detonation
FireRadius 0.0
ExplosionRadius 2.5
ExplosionDamageVsLiving 1.2
ExplosionDamageVsPlayer 1.2
ExplosionBreaksBlocks true
//DropItemOnDetonate <itemID.damage>
DetonateSound hand_grenade
////Misc
MeleeDamage 2
DebrisParticleCount 10
FlashBang true
FlashTime 1
FlashRange 1
FlashSoundEnable true
FlashSoundRange 10
FlashSound flash
CanBeDestructByAPS true
DistortSound false
TeamThrowSound true
