Name V40 Mini
ShortName v40
Icon V40
Description Fuse 3s
Colour 255 255 255
StackSize 10
Model Octagon_Weapons.M67_Grenade
Texture V40
TrailParticles false
ExplodeParticles 200
ExplodeParticleType Boom
SmokeTime 10
SpinWhenThrown true
ThrowDelay 10
DetonateOnImpact false
ThrowSound grenade
Bounciness 0.6
HitEntityDamage 2
ThrowSpeed 2.8
FallSpeed 1.2
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.1
Sticky false
BounceSound bounce
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 55
DetonateWhenShot false
Remote false
PrimeDelay 0
FireRadius 0.0
ExplosionRadius 3
ExplosionDamageVsLiving 2
ExplosionDamageVsPlayer 2
ExplosionBreaksBlocks true
DetonateSound hand_grenade
MeleeDamage 2
DebrisParticleCount 10
FlashBang true
FlashTime 1
FlashRange 5
FlashSoundEnable true
FlashSoundRange 10
FlashSound flash
FlashEffects 9 40 2
FlashEffectsDuration 40
FlashEffectsLevel 2
CanBeDestructByAPS true
DistortSound false
TeamThrowSound true
