Name CQ-A3
ShortName cq58
Ammo 58x4230rdmag
Icon CQ58
Colour 255 255 255
Description Type Assault Rifle_Use 5.8x42mm Ammo
ReloadTime 70
TacticalReloadTime 60
Recoil 2
RecoilDistance 0.06
RecoilAngle -0.1
RandomRecoilRange 0.65
DecreaseRecoil 0.9
RandomRecoilYawRange 0.85
DecreaseRecoilYaw 2
Damage 6
RecoilShakeDistance 0.3
RunPosTime 4.5
RunCrouchTime 4
AimTimeConstant 0.68
Accuracy 0.4
AimingSpreadConstant 0.4
RoundsPerMin 900
ShootSound m16lmg_f
ReloadSound m4a1_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode FullAuto Burst SemiAuto
NumBurstRounds 3
BulletSpeed 32
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
CanShootUnderwater False
Deployable False
DeployedModel None

Texture CQA3
Model BFMCpack.CQA3
ModelScale 1.15

3rdModel ransya.M16
3rdModelScale 0.3
3rdTexture 3rd/M16

UseGLTFAnimation true
GLTFAnimation ar_reload_0 BFMCpack/animations/AR_Reload_0.json

AllowAllAttachments true
AllowAttachments
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments true
NumGenericAttachmentSlots 3
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
//BFMCpack由TV90开发，BFMC开发组所有，盗包狗死妈
