Name ACE 21
ShortName ace21
//The ammo this gun uses (shortName)
Ammo 556x4535rdmag
Icon ACE21
Description Type Carbine Rifle_Use 5.56x45mm Ammo
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 50
TacticalReloadTime 40
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
RecoilDistance 0.05
RecoilAngle -0.5
RandomRecoilRange 0.2
RandomRecoilYawRange 0.5
DecreaseRecoil 1.0
DecreaseRecoilYaw 1.5
RecoilShakeDistance 0.4
//Damage in half hearts
Damage 6
RunPosTime 3.5
RunCrouchTime 4
//The higher this value, the more the bullets spread
Spread 1
AimTimeConstant 0.6
AimingSpreadConstant 0.5
//Time in ticks between rounds
RoundsPerMin 770
ShootSound m4a1_f
ReloadSound akm_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode FullAuto SemiAuto Burst
NumBurstRounds 3

BulletSpeed 30

Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None

Model BFMCpack.ACE21
ModelScale 0.09
Texture ACE21

3rdModel ransya.AK74
3rdModelScale 0.3
3rdTexture 3rd/AK74M

UseGLTFAnimation true
GLTFAnimation ar_reload_2 BFMCpack/animations/AR_Reload_2.json

AllowAllAttachments true
AllowAttachments
AllowAllAttachments True
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 3
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
