Name LVOA-C
ShortName lvoa
Ammo 556x4530rdmag
Icon LVOA
Description Type Carbine Rifle_Use 5.56x45mm Ammo
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 58
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.0
RandomRecoilRange 0.2
RandomRecoilYawRange 0.8
DecreaseRecoil 1.0
DecreaseRecoilYaw 1.25
RecoilShakeDistance 0.3
//Damage in half hearts
Damage 7
RunPosTime 4
RunCrouchTime 4
//Modifiers
MoveSpeedModifier 1
AimTimeConstant 0.61
//The higher this value, the more the bullets spread
Spread 0.8
AimingSpreadConstant 0.5
//Time in ticks between rounds
RoundsPerMin 750
ShootSound hk416_f
ReloadSound hk417_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode FullAuto SemiAuto Burst
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.00
FOVZoomLevel 1.25
Deployable False
DeployedModel None
BulletSpeed 23
//Model settings
Model BFMCpack.LVOA
ModelScale 1.0
Texture LVOA
//Attachment Settings
AllowAllAttachments true
AllowAttachments
AllowAllAttachments True
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 3
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
