Name IMPROVISED
ShortName improvised
//The ammo this gun uses (shortName)
Icon improvised
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 0
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 0
//Number of bullet entities to create, useful for shotguns, defaults to 1
NumBullets 0
//Damage in half hearts
Damage 13
//The higher this value, the more the bullets spread
Accuracy 0
//Time in ticks between rounds
ShootDelay 0
IdleSound knife
IdleSoundLength 500
IdleSoundRange 20
Mode SemiAuto
Scope None
FOVZoomLevel 1.0
Deployable False
DeployedModel None
MeleeDamage 10
MoveSpeedModifier 1.1
KnockbackModifier 0.8
MeleeSound knife_flesh
MeleeTime 12
MeleeDamagePoint 12 0 2
Model W44.AmericanKaBarKnife
Texture Skin44_AmericanKaBarKnife
//BFMCpack由TV90开发，BFMC开发组所有，盗包狗死妈
HideCrosshair true
CanAIUse false
