Name AK-12
ShortName ak12
//The ammo this gun uses (shortName)
Ammo 545x3930rdmag
Icon AK12
Description Type Assault Rifle_Use 5.45x39mm Ammo
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 60
TacticalReloadTime 40
Recoil 2.0
RecoilDistance 0.02
RandomRecoilRange 0.5
RandomRecoilYawRange 0.5
DecreaseRecoil 1.0
DecreaseRecoilYaw 1.25
//Damage in half hearts
Damage 7
RunPosTime 4.5
RunCrouchTime 4
AimTimeConstant 0.63
RecoilShakeDistance 0.3
//The higher this value, the more the bullets spread
Accuracy 0.4
AimingSpreadConstant 0.4
//Time in ticks between rounds
RoundsPerMin 600
ShootSound ak12_f
ReloadSound ak12_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode FullAuto SemiAuto Burst
//Bullet speed, default 3.0
BulletSpeed 35
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None

//Model settings
Model BFMCpack.AK12
ModelScale 0.12
Texture AK12

3rdModel ransya.AEK971
3rdModelScale 0.3
3rdTexture 3rd/AEK971

UseGLTFAnimation true
GLTFAnimation ak12 BFMCpack/animations/AK12.json
UseLeftArmGLTFAnimation true
RenderExtraAmmo true
TacticalReloadGLTFAnimation ak12

//Attachment Settings
AllowAllAttachments true
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments flanMWSilencer flanMWRedDot flanMWACOG flanMWForegrip
AllowAllAttachments True
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 3

CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
