Name APS-M
ShortName aps
//The ammo this gun uses (shortName)
Ammo 9x1915rdmag
Icon APS
Description Type Piston_Use 9x19mm Ammo
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 40
TacticalReloadTime 30
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1.5
RecoilAngle -5
RecoilDistance 0.05
RandomRecoilRange 0.3
DecreaseRecoil 1
RandomRecoilYawRange 1
DecreaseRecoilYaw 2
AimTimeConstant 0.5
RecoilShakeDistance 0.3
//Damage in half hearts
Damage 4.5
RunPosTime 2
RunCrouchTime 2
//The higher this value, the more the bullets spread
Spread 0.75
AimingSpreadConstant 0.9
//Time in ticks between rounds
RoundsPerMin 900
ShootSound g18_f
ReloadSound m9_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode FullAuto SemiAuto
//Bullet speed, default 3.0
BulletSpeed 23
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None

//Model settings
ModelScale 0.04
Model BFMCpack.APS
Texture APS

3rdModel ransya.G17
3rdModelScale 0.2
3rdTexture 3rd/G17

//Attachment Settings
AllowAllAttachments true
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments flanMWSilencer flanMWACOG flanmwpistonrd flanMWSingleFire flanMWBurstFire flanMWAutoFire ospreysilencergeneric
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments false
AllowGripAttachments true
NumGenericAttachmentSlots 5
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
//BFMCpack由TV90开发，BFMC开发组所有，盗包狗死妈
CanAIUse false
