Name SVD-12
ShortName svd12
//The ammo this gun uses (shortName)
Ammo 762x5410rdmag
Icon SVD12
Description Type Designated Marksman Rifle_Use 7.62x54mm Ammo
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 70
TacticalReloadTime 50
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 1000
RandomRecoilRange 1.5
DecreaseRecoil 2
RandomRecoilYawRange 0.5
//DecreaseRecoilYaw 2
RecoilShakeDistance 0.8
//后座回复
CounterRecoilForce 0.01
CounterRecoilForceSneaking 0.002
RecoilSprintingMultiplier 1.0
CounterRecoilForceSprinting 0.01

Damage 11.5
RunPosTime 10
RunCrouchTime 6
Accuracy 0.4
AimingSpreadConstant 0.2
AimTimeConstant 0.65
ShootDelay 3
ShootSound qbu85_f
ReloadSound qbu85_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode SemiAuto
BulletSpeed 25
//Default Scope Settings
Scope None
ZoomLevel 1
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None
//Model Settings
Model BFMCpack.SVD12
ModelScale 0.12
Texture SVD12

UseGLTFAnimation true
GLTFAnimation ak12 BFMCpack/animations/AK12.json
UseLeftArmGLTFAnimation true
RenderExtraAmmo true
TacticalReloadGLTFAnimation ak12

AllowAllAttachments True
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 3
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
