Name ACW-R
ShortName acwr
//The ammo this gun uses (shortName)
Ammo 65x3930rdmag
Icon ACR
Description Type Carbine Rifle_Use 6.5x39mm Ammo
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 60
TacticalReloadTime 45
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2
RandomRecoilRange 0.4
DecreaseRecoil 0.75
RandomRecoilYawRange 0.5
DecreaseRecoilYaw 1.5
RecoilShakeDistance 0.3
RecoilDistance 0.02
Damage 6
RunPosTime 3.5
RunCrouchTime 3
AimTimeConstant 0.62
//The higher this value, the more the bullets spread
Accuracy 0.5
AimingSpreadConstant 0.5
//BFMCpack由TV90开发，BFMC开发组所有，盗包狗死妈
RoundsPerMin 800
ShootSound acr_f
ReloadSound m16a4_r
ReloadSoundRange 5
GunSoundRange 100
EmptyClickSound emptyclick
Mode FullAuto SemiAuto Burst
//Bullet speed, default 3.0
BulletSpeed 30
//Default scope settings. Usually for aiming down sights. In which case, use FOVZoomLevel, not ZoomLevel
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
//Deployable Settings
Deployable False
DeployedModel None

Model BFMCpack.ACWR
ModelScale 0.12
Texture ACWR

3rdModel ransya.Mk18
3rdModelScale 0.3
3rdTexture 3rd/Mk18

UseGLTFAnimation true
GLTFAnimation ar_reload_4 BFMCpack/animations/AR_Reload_4.json

//Attachment Settings
AllowAllAttachments true
//List here all the attachments allowed on this gun by shortName and separated by spaces
AllowAttachments atAFG atAPS atEOT atFG atPFG atRDS atSFG atT1DS atFU atSU atFLFG at8XScope
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
AllowGadgetAttachments true
AllowSlideAttachments false
AllowPumpAttachments true
AllowAccessoryAttachments true
NumGenericAttachmentSlots 3
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
//paintjob ACR camos/ACWR_MARPAT
//paintjob ACR camos/ACWR_GEN_Urban
