Name M27 IAR
ShortName m27iar
//The ammo this gun uses (shortName)
Ammo 556x4540rdmag
Ammo 556x4530rdmag
Icon M27IAR
//Colour in Red, Green, Blue, each going up to 255.
Colour 255 255 255
//Reload time in ticks, 1/20ths of a second
ReloadTime 70
TacticalReloadTime 60
Description Type Light Machine Gun_Use 5.56x45mm Magazine
//The amount of gun recoil, all relative : Sten = 1, Mp40 = 3, Kar98kSniper = 20
Recoil 2.0
RecoilDistance 0.1
RandomRecoilRange 0.6
DecreaseRecoil 1.0
RandomRecoilYawRange 0.5
DecreaseRecoilYaw 2
RecoilShakeDistance 0.6
AimTimeConstant 0.68
//Damage in half hearts
Damage 7
RunPosTime 6.5
RunCrouchTime 4
//The higher this value, the more the bullets spread
Accuracy 1
AimingSpreadConstant 0.15
//Time in ticks between rounds
ShootDelay 2
ShootSound m27iar_f
ReloadSoundRange 5
GunSoundRange 100
ReloadSound m4a1_r
EmptyClickSound emptyclick
Mode FullAuto SemiAuto Burst
//Bullet speed, default 3.0
BulletSpeed 35
Scope None
Deployable False
DeployedModel None

Model BFMCpack.M27IAR
ModelScale 1.15
Texture M27IAR

3rdModel ransya.Mk18
3rdModelScale 0.3
3rdTexture 3rd/Mk18

UseGLTFAnimation true
GLTFAnimation ar_reload_2 BFMCpack/animations/AR_Reload_2.json

AllowAllAttachments true
AllowAttachments
AllowAllAttachments True
AllowBarrelAttachments True
AllowScopeAttachments True
AllowStockAttachments True
AllowGripAttachments True
AllowGadgetAttachments True
AllowSlideAttachments False
AllowPumpAttachments True
AllowAccessoryAttachments True
NumGenericAttachmentSlots 3
CasingModel W44.W44BulletCasing
CasingTexture Skin44_BulletCasing
FlashModel rainfire.GenericFlash
FlashTexture effects/SkinGenericFlash
MoveSpeedModifier 0.9
KnockbackModifier 0
