Name Soviet Armed Forces (1988)
ShortName SovietCW
//TextColour can be one of Black, Blue, Green, Aqua, Red, Purple, Orange, LGrey, Grey, LBlue, LGreen, LAqua, Red, Pink, Yellow, White
//This is used for player names and such
TextColour Red
//TeamColour is a more specific colour for banners, flags and spawn points. It is specified by Red, Green and Blue, each ranging from 0 to 255
TeamColour 13 132 0
//Specify the armour this team should spawn with
Hat SSH68
Chest USSRafghanka
Legs 6B3
AddClass CWSovietsAssault
AddClass CWSovietsAT
AddClass CWSovietsMG
AddClass CWSovietsSR
AddClass CWSovietsSpecialist
AddClass CWSovietsENG
